month,bachelors_plus_share_of_labor_force_25plus_pct,labor_force_25plus_thousands
1992-01,26.157,105638
1992-02,26.187,105825
1992-03,26.194,106008
1992-04,26.322,106309
1992-05,26.384,106541
1992-06,26.462,106757
1992-07,26.429,107020
1992-08,26.508,106809
1992-09,26.583,106668
1992-10,26.659,106665
1992-11,26.706,106720
1992-12,26.809,106963
1993-01,26.885,106772
1993-02,26.871,107005
1993-03,26.905,107017
1993-04,26.822,107014
1993-05,26.773,107472
1993-06,26.878,107837
1993-07,26.67,107885
1993-08,26.834,107982
1993-09,26.966,107807
1993-10,26.952,108214
1993-11,27.194,108292
1993-12,27.105,108744
1994-01,27.134,109018
1994-02,27.1,108972
1994-03,27.168,108836
1994-04,27.524,108934
1994-05,27.548,109266
1994-06,27.43,108911
1994-07,27.498,109233
1994-08,27.523,109477
1994-09,27.762,109932
1994-10,27.498,109991
1994-11,27.417,110330
1994-12,27.662,110226
1995-01,27.656,110355
1995-02,27.919,110435
1995-03,28.057,110406
1995-04,28.022,110919
1995-05,28.061,110626
1995-06,28.149,110398
1995-07,28.183,110920
1995-08,28.14,110747
1995-09,28.157,111240
1995-10,28.381,111389
1995-11,28.384,111491
1995-12,28.323,111291
1996-01,28.512,111485
1996-02,28.53,111827
1996-03,28.502,111948
1996-04,28.344,112126
1996-05,28.525,112525
1996-06,28.609,112665
1996-07,28.479,113216
1996-08,28.501,113134
1996-09,28.435,113267
1996-10,28.536,113486
1996-11,28.863,113710
1996-12,28.624,113749
1997-01,28.553,114067
1997-02,28.645,113968
1997-03,28.758,114424
1997-04,28.957,114458
1997-05,28.816,114571
1997-06,28.736,114862
1997-07,28.713,115033
1997-08,28.797,115270
1997-09,29.072,115362
1997-10,29.067,115184
1997-11,29.159,115286
1997-12,29.177,115496
1998-01,29.247,115253
1998-02,29.231,115366
1998-03,29.347,115462
1998-04,29.415,115300
1998-05,29.377,115490
1998-06,29.61,115505
1998-07,29.833,115791
1998-08,30.029,115658
1998-09,30.056,116343
1998-10,29.98,116271
1998-11,29.854,116488
1998-12,29.936,116677
1999-01,29.904,116919
1999-02,29.975,116719
1999-03,30.14,116337
1999-04,30.269,116633
1999-05,30.495,116728
1999-06,30.516,117197
1999-07,30.624,117233
1999-08,30.835,117266
1999-09,30.511,117520
1999-10,30.522,117481
1999-11,30.013,117639
1999-12,30.502,117715
2000-01,30.568,119685
2000-02,30.436,119927
2000-03,30.425,119732
2000-04,30.403,120041
2000-05,30.437,119901
2000-06,30.462,120023
2000-07,30.453,120162
2000-08,30.525,120100
2000-09,30.567,120191
2000-10,30.482,120120
2000-11,30.592,120310
2000-12,30.799,120523
2001-01,30.689,120809
2001-02,30.613,120970
2001-03,30.651,121120
2001-04,30.597,121079
2001-05,30.655,121153
2001-06,30.684,121043
2001-07,30.806,121296
2001-08,30.819,121275
2001-09,30.882,121496
2001-10,31.071,121604
2001-11,31.182,121722
2001-12,30.992,121827
2002-01,31.037,121563
2002-02,31.382,122272
2002-03,31.497,121999
2002-04,31.685,122522
2002-05,31.725,122605
2002-06,31.62,122433
2002-07,31.579,122385
2002-08,31.568,122593
2002-09,31.431,122983
2002-10,31.307,122957
2002-11,31.158,122659
2002-12,31.334,122870
2003-01,31.401,123553
2003-02,31.678,123876
2003-03,31.832,124273
2003-04,31.746,124377
2003-05,31.907,124320
2003-06,32.079,124624
2003-07,32.02,124382
2003-08,32.188,124414
2003-09,32.019,124265
2003-10,32.37,124880
2003-11,32.239,125065
2003-12,32.246,124883
2004-01,32.383,124409
2004-02,32.176,124548
2004-03,32.385,125022
2004-04,32.291,124509
2004-05,32.163,124761
2004-06,32.095,125170
2004-07,31.95,125455
2004-08,32.078,125174
2004-09,32.293,125244
2004-10,32.455,125413
2004-11,32.593,125891
2004-12,32.43,125952
2005-01,32.429,125741
2005-02,32.202,126112
2005-03,32.157,126089
2005-04,32.297,126561
2005-05,32.324,126803
2005-06,32.319,126865
2005-07,32.335,127431
2005-08,32.442,127420
2005-09,32.541,127730
2005-10,32.609,127727
2005-11,32.501,127670
2005-12,32.849,128024
2006-01,32.671,127990
2006-02,32.527,128280
2006-03,32.615,128414
2006-04,32.703,128505
2006-05,32.863,128516
2006-06,32.906,128915
2006-07,32.997,129235
2006-08,32.938,129142
2006-09,33.142,129420
2006-10,33.115,129603
2006-11,33.394,129809
2006-12,33.498,130317
2007-01,33.462,130448
2007-02,33.553,130521
2007-03,33.333,130679
2007-04,33.363,130271
2007-05,33.803,130501
2007-06,33.875,130741
2007-07,33.873,131127
2007-08,33.931,130998
2007-09,33.639,131190
2007-10,33.682,131077
2007-11,33.73,131397
2007-12,33.793,131785
2008-01,33.893,131751
2008-02,34.42,131908
2008-03,34.305,132212
2008-04,34.25,131766
2008-05,33.9,131644
2008-06,34.073,132065
2008-07,34.039,132332
2008-08,34.145,132567
2008-09,34.056,132527
2008-10,34.094,133054
2008-11,34.046,132766
2008-12,34.023,132780
2009-01,34.021,132639
2009-02,33.986,132756
2009-03,34.045,132793
2009-04,34.131,132818
2009-05,34.231,133007
2009-06,34.23,133076
2009-07,34.433,132859
2009-08,34.513,132808
2009-09,34.622,132781
2009-10,34.754,133196
2009-11,34.631,132820
2009-12,34.745,132301
2010-01,34.606,132639
2010-02,34.37,132629
2010-03,34.206,133214
2010-04,34.277,133373
2010-05,34.327,132979
2010-06,34.774,132930
2010-07,34.759,132709
2010-08,34.427,132874
2010-09,34.98,133254
2010-10,34.754,132959
2010-11,34.867,132972
2010-12,34.929,132864
2011-01,35.014,132157
2011-02,35.153,132110
2011-03,35.265,132500
2011-04,35.299,132538
2011-05,35.327,132569
2011-06,35.389,132658
2011-07,35.327,132495
2011-08,35.335,132696
2011-09,35.38,133104
2011-10,35.423,133072
2011-11,35.51,132764
2011-12,35.52,132836
2012-01,35.631,133256
2012-02,35.758,133297
2012-03,36.006,133629
2012-04,35.95,133273
2012-05,36.086,133576
2012-06,35.832,133787
2012-07,35.794,133464
2012-08,36.326,133696
2012-09,36.341,133948
2012-10,36.325,134431
2012-11,36.463,133808
2012-12,36.421,134149
2013-01,36.516,134056
2013-02,36.754,133890
2013-03,36.829,133778
2013-04,37.021,133795
2013-05,36.766,134294
2013-06,36.792,134190
2013-07,36.618,134124
2013-08,36.61,134306
2013-09,36.678,134230
2013-10,37.026,133641
2013-11,37.197,133950
2013-12,37.134,133903
2014-01,37.574,134088
2014-02,37.264,134506
2014-03,37.152,134438
2014-04,37.372,134040
2014-05,37.363,134329
2014-06,37.408,134549
2014-07,37.288,134645
2014-08,37.097,135134
2014-09,37.355,134792
2014-10,37.457,134937
2014-11,37.985,134980
2014-12,38.353,135128
2015-01,38.102,135627
2015-02,38.062,135262
2015-03,37.847,135449
2015-04,37.732,135793
2015-05,38.221,136116
2015-06,38.137,135851
2015-07,38.439,135944
2015-08,38.601,135949
2015-09,38.749,135782
2015-10,38.74,136150
2015-11,38.741,136380
2015-12,38.949,136634
2016-01,38.493,137169
2016-02,38.64,137357
2016-03,38.728,137778
2016-04,38.789,137758
2016-05,38.883,137745
2016-06,39.216,137904
2016-07,39.1,138227
2016-08,39.072,138227
2016-09,39.232,138493
2016-10,39.02,138599
2016-11,39.005,138350
2016-12,39.03,138208
2017-01,39.263,138396
2017-02,39.484,138653
2017-03,39.297,138869
2017-04,39.45,138934
2017-05,39.705,139105
2017-06,39.822,139156
2017-07,40.023,139509
2017-08,39.865,139396
2017-09,39.912,139694
2017-10,39.973,139089
2017-11,39.705,139482
2017-12,39.925,139527
2018-01,39.957,139774
2018-02,40.32,140552
2018-03,40.412,140447
2018-04,40.43,140641
2018-05,40.433,140916
2018-06,40.211,141188
2018-07,40.366,141490
2018-08,40.7,141392
2018-09,40.599,141119
2018-10,40.878,141603
2018-11,41.095,141812
2018-12,41.249,142013
2019-01,41.093,142048
2019-02,41.188,142253
2019-03,41.318,141939
2019-04,41.213,141605
2019-05,41.136,141600
2019-06,41.245,141911
2019-07,41.13,142389
2019-08,40.998,142840
2019-09,41.365,142813
2019-10,41.633,143061
2019-11,41.882,143319
2019-12,41.901,143468
2020-01,42.083,143296
2020-02,41.928,143298
2020-03,42.625,142065
2020-04,43.509,138178
2020-05,43.361,139199
2020-06,43.979,140432
2020-07,43.885,140419
2020-08,43.764,140841
2020-09,42.79,139815
2020-10,42.42,140170
2020-11,42.606,140017
2020-12,42.962,140022
2021-01,43.433,139404
2021-02,43.669,139567
2021-03,43.621,139773
2021-04,43.419,140102
2021-05,43.204,140211
2021-06,42.988,140653
2021-07,43.075,140943
2021-08,42.939,140971
2021-09,43.111,140736
2021-10,43.219,140856
2021-11,43.482,141318
2021-12,43.316,141568
2022-01,43.381,142689
2022-02,43.527,142997
2022-03,43.095,143126
2022-04,43.229,142861
2022-05,43.418,143353
2022-06,43.396,142909
2022-07,44.146,143085
2022-08,44.266,143551
2022-09,44.311,143337
2022-10,44.088,143442
2022-11,44.078,143176
2022-12,44.016,143761
2023-01,43.793,143823
2023-02,43.975,144112
2023-03,44.09,144438
2023-04,44.373,144477
2023-05,44.29,144815
2023-06,44.218,145064
2023-07,44.491,145383
2023-08,44.153,145628
2023-09,44.115,145568
2023-10,44.327,145363
2023-11,44.225,145819
2023-12,44.245,145427
2024-01,44.113,145478
2024-02,43.903,145823
2024-03,44.2,145846
2024-04,44.244,145723
2024-05,44.524,145999
2024-06,44.662,146327
2024-07,44.421,146860
2024-08,44.368,147089
2024-09,44.578,146825
2024-10,44.97,146670
2024-11,44.887,146649
2024-12,44.82,146668
2025-01,44.734,148337
2025-02,44.804,148015
2025-03,45.077,148074
2025-04,44.878,148559
2025-05,44.972,148424
2025-06,44.938,148597
2025-07,45.168,148703
2025-08,45.262,149258
2025-09,45.255,149086
2025-10,,
2025-11,44.95,149492
2025-12,45.077,149563
2026-01,45.15,148439
2026-02,45.365,148208
2026-03,45.41,148128
2026-04,45.539,147984
2026-05,45.394,148237
2026-06,45.343,147600
2026-07,45.147,147524
